Page,Edits,Editors,Views,Mobile %
"Raul Seixas",?,?,24546,NaN
"Jorge VI do Reino Unido",?,?,24535,NaN
"Eduardo Pazuello",?,?,24499,NaN
"América do Sul",?,?,24445,NaN
"Tupac Shakur",?,?,24442,NaN
"Berenice Azambuja",?,?,24417,NaN
"Joaquín Guzmán",?,?,24411,NaN
"Ginástica artística",?,?,24398,NaN
"Governo Lula",?,?,24395,NaN
"Noruega",?,?,24380,NaN
"Omar Sy",?,?,24373,NaN
"Uruguai",?,?,24304,NaN
"Ted Bundy",?,?,24289,NaN
"Seleção Inglesa de Futebol",?,?,24279,NaN
"Rio de Janeiro (estado)",?,?,24278,NaN
"Sistema horário de 12 horas",?,?,24256,NaN
"Rio Grande do Sul",?,?,24211,NaN
"Religião",?,?,24181,NaN
"Taj Mahal",?,?,24147,NaN
"Cocalzinho de Goiás",?,?,24074,NaN
"Diogo Dalot",?,?,24056,NaN
"Prova de Amor (telenovela)",?,?,24041,NaN
"Friends",?,?,24015,NaN
"Ijiranaide, Nagatoro-san",?,?,24001,NaN
"Josef Stalin",?,?,24001,NaN
"Ranking Mundial da FIFA",?,?,23923,NaN
"The Beatles",?,?,23901,NaN
"Coreia do Norte",?,?,23805,NaN
"Eliminatórias da Copa do Mundo FIFA de 2022 – CONMEBOL",?,?,23769,NaN
"Egito",?,?,23760,NaN
"Elba Ramalho",?,?,23740,NaN
"Dança de salão",?,?,23735,NaN
"Lista de personagens de Naruto",?,?,23709,NaN
"João Acácio Pereira da Costa",?,?,23699,NaN
"Continente",?,?,23689,NaN
"Unidades federativas do Brasil",?,?,23678,NaN
"Angelina Jolie",?,?,23599,NaN
"Copa do Mundo FIFA de 2002",?,?,23591,NaN
"Lista das pessoas mais velhas do mundo",?,?,23581,NaN
"Chile",?,?,23571,NaN
"Pedro Castillo",?,?,23551,NaN
"Lisboa",?,?,23519,NaN
"Forró",?,?,23518,NaN
"Islândia",?,?,23467,NaN
"Wicca",?,?,23460,NaN
"Arón Piper",?,?,23409,NaN
"Jogos Olímpicos de Verão de 2016",?,?,23379,NaN
"Avril Lavigne",?,?,23364,NaN
"Estátua da Liberdade",?,?,23341,NaN
"Ronaldinho",?,?,23335,NaN
"Zé Roberto (futebolista)",?,?,23327,NaN
"Estatura",?,?,23297,NaN
"The Vampire Diaries (série de televisão)",?,?,23284,NaN
"Bahia",?,?,23265,NaN
"Dragon Ball (série)",?,?,23254,NaN
"Thiago Lacerda",?,?,23253,NaN
"AstraZeneca",?,?,23252,NaN
"Nubank",?,?,23186,NaN
"Paul Pogba",?,?,23183,NaN
"Azitromicina",?,?,23182,NaN
"The Bold Type",?,?,23109,NaN
"Seleção Neerlandesa de Futebol",?,?,23061,NaN
"Presidente do Brasil",?,?,23059,NaN
"Idade Média",?,?,23059,NaN
"Ragnarök",?,?,23056,NaN
"Pardos",?,?,23050,NaN
"Dua Lipa",?,?,23047,NaN
"Vanessa Lóes",?,?,23022,NaN
"Fernandinho Beira-Mar",?,?,23004,NaN
"Lázaro",?,?,22982,NaN
"Hernán Crespo",?,?,22948,NaN
"Islão",?,?,22947,NaN
"Winston Churchill",?,?,22923,NaN
"Lista de episódios de Naruto",?,?,22869,NaN
"Campeonato Europeu de Futebol de 2008",?,?,22857,NaN
"Curitiba",?,?,22834,NaN
"Gustavo Kuerten",?,?,22817,NaN
"Xuxa",?,?,22813,NaN
"Dia dos Pais",?,?,22810,NaN
"Platão",?,?,22798,NaN
"Aristóteles",?,?,22787,NaN
"Peru",?,?,22763,NaN
"Confederação Brasileira de Futebol",?,?,22740,NaN
"Terra",?,?,22722,NaN
"Âmbar cinza",?,?,22708,NaN
"Índice de Desenvolvimento Humano",?,?,22707,NaN
"Celso Pinheiro Pimenta",?,?,22645,NaN
"Tiago Leifert",?,?,22641,NaN
"American Horror Story",?,?,22636,NaN
"Roque Santeiro",?,?,22571,NaN
"Singapura",?,?,22536,NaN
"Sigmund Freud",?,?,22500,NaN
"Game of Thrones",?,?,22479,NaN
"Ricardo de Aquino Salles",?,?,22465,NaN
"Tim Maia",?,?,22454,NaN
"Nanda Costa",?,?,22414,NaN
"Chico Buarque",?,?,22413,NaN
"Antigo Egito",?,?,22412,NaN
"África",?,?,22398,NaN
"Judaísmo",?,?,22389,NaN
"Juliette Freire",?,?,22348,NaN
"Luís XIV de França",?,?,22340,NaN
"William Shakespeare",?,?,22270,NaN
"Damas",?,?,22256,NaN
"Samba",?,?,22245,NaN
"Grande Depressão",?,?,22240,NaN
"Charlie Chaplin",?,?,22181,NaN
"Sociedade Desportiva Juazeirense",?,?,22171,NaN
"O. J. Simpson",?,?,22145,NaN
"Nicolau Copérnico",?,?,22119,NaN
"Galileu Galilei",?,?,22091,NaN
"Hierarquia de necessidades de Maslow",?,?,22091,NaN
"Boerboel",?,?,22074,NaN
"Rafael Cardoso",?,?,22073,NaN
"Rosário (catolicismo)",?,?,22061,NaN
"Lista de países e territórios por área",?,?,22018,NaN
"Solstício de inverno",?,?,22010,NaN
"Friedrich Nietzsche",?,?,22004,NaN
"Leão",?,?,21993,NaN
"Brasil na Copa do Mundo FIFA de 2002",?,?,21989,NaN
"Lista de países por PIB nominal",?,?,21982,NaN
"Jô Soares",?,?,21973,NaN
"Marcos Rogério",?,?,21958,NaN
"Lista de artilheiros da Copa do Mundo FIFA",?,?,21950,NaN
"Salmo 23",?,?,21942,NaN
"Esporte Clube Juventude",?,?,21932,NaN
"Suécia",?,?,21915,NaN
"Santos Dumont",?,?,21908,NaN
"Marcola",?,?,21882,NaN
"The Big Bang Theory",?,?,21842,NaN
"Coronavírus",?,?,21842,NaN
"Paraíso Tropical",?,?,21841,NaN
"Sylvester Stallone",?,?,21818,NaN
"Fernando Collor",?,?,21800,NaN
"Robert Lewandowski",?,?,21776,NaN
"Moisés",?,?,21770,NaN
"Lista dos recordes mundiais de futebol",?,?,21749,NaN
"Keiko Fujimori",?,?,21737,NaN
"Lista de finais masculinas em simples do Torneio de Roland Garros",?,?,21736,NaN
"MC Kevin",?,?,21687,NaN
"RMS Titanic",?,?,21687,NaN
"William Bonner",?,?,21685,NaN
"TikTok",?,?,21652,NaN
"Sistemas táticos do voleibol",?,?,21623,NaN
"Dia das Crianças",?,?,21621,NaN
"Adriano Imperador",?,?,21603,NaN
"Intersexo",?,?,21583,NaN
"Frederico Chaves Guedes",?,?,21555,NaN
"Belo Horizonte",?,?,21507,NaN
"Filosofia",?,?,21501,NaN
"Li Martins",?,?,21487,NaN
"Estádio Olímpico Pedro Ludovico Teixeira",?,?,21464,NaN
"Mona Lisa",?,?,21448,NaN
"Estádio de La Cartuja",?,?,21430,NaN
"Bandeira do Brasil",?,?,21419,NaN
"Lista de municípios do Brasil",?,?,21388,NaN
"Vitória do Reino Unido",?,?,21385,NaN
"Pernambuco",?,?,21379,NaN
"Pega Pega",?,?,21320,NaN
"Ginástica rítmica",?,?,21316,NaN
"Voleibol nos Jogos Olímpicos",?,?,21295,NaN
"Dwayne Johnson",?,?,21267,NaN
"Santa Catarina",?,?,21266,NaN
"Ucrânia",?,?,21252,NaN
"Hinduísmo",?,?,21251,NaN
"Andriy Shevchenko",?,?,21250,NaN
"Escócia",?,?,21247,NaN
"Guerra do Vietnã",?,?,21238,NaN
"Illuminati",?,?,21230,NaN
"Massacre da Praça da Paz Celestial em 1989",?,?,21211,NaN
"Reforma Protestante",?,?,21188,NaN
"Rebelião de Stonewall",?,?,21184,NaN
"Harry Potter",?,?,21176,NaN
"Jennifer Aniston",?,?,21158,NaN
"2021",?,?,21149,NaN
"Liberalismo",?,?,21147,NaN
"Club Athletico Paranaense",?,?,21133,NaN
"Zeus",?,?,21124,NaN
"Coca-Cola",?,?,21115,NaN
"Gianluigi Buffon",?,?,21105,NaN
"Benito Mussolini",?,?,21102,NaN
"Erling Haaland",?,?,21090,NaN
"Keanu Reeves",?,?,21067,NaN
"Fluminense Football Club",?,?,21066,NaN
"Liga dos Campeões da UEFA de 2021–22",?,?,21064,NaN
"Filipe, Duque de Edimburgo",?,?,21046,NaN
"Sergio Agüero",?,?,21035,NaN
"Star Wars",?,?,21032,NaN
"Jogos Paraolímpicos",?,?,21027,NaN
"Estados dos Estados Unidos",?,?,20981,NaN
"Luiz Felipe Scolari",?,?,20981,NaN
"Lan Lan",?,?,20968,NaN
"Hip hop",?,?,20929,NaN
"Seleção Belga de Futebol",?,?,20913,NaN
"Revolução de 1930",?,?,20876,NaN
"Carlos Henrique Casemiro",?,?,20871,NaN
"Ragnar Lodbrok",?,?,20855,NaN
"Milícia (criminalidade no Brasil)",?,?,20853,NaN
"Campeonato Brasileiro de Futebol de 2021 - Série D",?,?,20846,NaN
"Stefanos Tsitsipas",?,?,20845,NaN
"Coreia do Sul",?,?,20843,NaN
"Emerson Royal",?,?,20820,NaN
"Alemão (filme)",?,?,20801,NaN
"Pica-Pau (personagem)",?,?,20789,NaN
"Scarlett Johansson",?,?,20778,NaN
"Sexo",?,?,20756,NaN
"Comorbidade",?,?,20730,NaN
"Memphis Depay",?,?,20718,NaN
"101 Dálmatas",?,?,20715,NaN
"José Ferreira Neto",?,?,20701,NaN
"Henrique de Gouveia e Melo",?,?,20701,NaN
"Leandro (cantor)",?,?,20668,NaN
"Zinédine Zidane",?,?,20661,NaN
"Revolução Constitucionalista de 1932",?,?,20656,NaN
"Paulo Freire",?,?,20639,NaN
"Elis Regina",?,?,20604,NaN
"Alceu Valença",?,?,20595,NaN
"Roupa Nova",?,?,20558,NaN
"Língua inglesa",?,?,20550,NaN
"Goiás",?,?,20546,NaN
"Thalía",?,?,20540,NaN
"Lua",?,?,20506,NaN
"Adão e Eva",?,?,20476,NaN
"Brooklyn Nets",?,?,20447,NaN
"Civilização maia",?,?,20439,NaN
"Tarsila do Amaral",?,?,20425,NaN
"Selton Mello",?,?,20418,NaN
"Isaac Newton",?,?,20418,NaN
"Queen",?,?,20339,NaN
"Lady Gaga",?,?,20333,NaN
"Karim Benzema",?,?,20320,NaN
"Pará",?,?,20319,NaN
"Sweet Tooth",?,?,20309,NaN
"Alfabeto",?,?,20302,NaN
"Grécia Antiga",?,?,20289,NaN
"Dexametasona",?,?,20266,NaN
"Barra do Mendes",?,?,20261,NaN
"Lucas Paquetá",?,?,20255,NaN
"João Doria",?,?,20217,NaN
"Agostinho de Hipona",?,?,20193,NaN
"Juscelino Kubitschek",?,?,20178,NaN
"Croácia",?,?,20159,NaN
"Lista das cidades mais populosas do mundo",?,?,20158,NaN
"Lista de municípios de Pernambuco por população",?,?,20149,NaN
"Novo Testamento",?,?,20113,NaN
"Garota de Fora",?,?,20091,NaN
"Paris Saint-Germain Football Club",?,?,20079,NaN
"Mia Khalifa",?,?,20078,NaN
"Clima",?,?,20060,NaN
"Eleição presidencial no Brasil em 2018",?,?,20049,NaN
"Miklós Fehér",?,?,20043,NaN
"Domingão do Faustão",?,?,20042,NaN
"Nova Ordem Mundial (teoria conspiratória)",?,?,20041,NaN
"Enéas Carneiro",?,?,20037,NaN
"Venezuela",?,?,20020,NaN
"Copa do Mundo de Clubes da FIFA",?,?,19987,NaN
"Juliana Paiva",?,?,19986,NaN
"Marta (futebolista)",?,?,19985,NaN
"Bill Gates",?,?,19985,NaN
"Boruto: Naruto Next Generations",?,?,19963,NaN
"Grécia",?,?,19962,NaN
"Luca (2021)",?,?,19951,NaN
"Walter Casagrande",?,?,19947,NaN
"Lista de recordes da NBA",?,?,19940,NaN
"Religião no Brasil",?,?,19903,NaN
"Shih-tzu",?,?,19896,NaN
"Paulo Marinho (empresário)",?,?,19859,NaN
"Júlio César",?,?,19858,NaN
"De Férias com o Ex Brasil Celebs 2",?,?,19841,NaN
"Mesopotâmia",?,?,19840,NaN
"Microsoft Excel",?,?,19838,NaN
"Luxemburgo",?,?,19837,NaN
"Mercedes Sosa",?,?,19826,NaN
"Budismo",?,?,19813,NaN
"Everybody Hates Chris",?,?,19808,NaN
"Alessandro Vieira",?,?,19782,NaN
"Império Otomano",?,?,19774,NaN
"Lista de campeões do Torneio de Roland Garros",?,?,19754,NaN
"Budapeste",?,?,19750,NaN
"Campeonato Brasileiro de Futebol - Série B",?,?,19744,NaN
"COVID-19",?,?,19743,NaN
"Big Bang",?,?,19716,NaN
"McDonald's",?,?,19707,NaN
"Massagem tântrica",?,?,19683,NaN
"Psicologia",?,?,19681,NaN
"Tom Holland (ator)",?,?,19679,NaN
"Umbanda",?,?,19661,NaN
"Ásia",?,?,19646,NaN
"Tamanho de papel",?,?,19609,NaN
"Bitcoin",?,?,19608,NaN
"Campeonato Europeu de Futebol de 2024",?,?,19594,NaN
"Labão",?,?,19547,NaN
"Sara",?,?,19520,NaN
"Tratado de Tordesilhas",?,?,19514,NaN
"Osama bin Laden",?,?,19497,NaN
"Renato Russo",?,?,19482,NaN
"Lista dos 100 melhores filmes brasileiros segundo a ABRACCINE",?,?,19470,NaN
"Mitologia grega",?,?,19464,NaN
"Milwaukee Bucks",?,?,19453,NaN
"João Amoêdo",?,?,19437,NaN
"Maomé",?,?,19422,NaN
"Felipe Neto",?,?,19418,NaN
"Google Chrome",?,?,19390,NaN
"Sol",?,?,19387,NaN
"Paraná",?,?,19383,NaN
"Kaká",?,?,19379,NaN
"Lista de medalhas brasileiras nos Jogos Olímpicos",?,?,19375,NaN
"Ranking da Federação Internacional de Voleibol",?,?,19363,NaN
"Finlândia",?,?,19362,NaN
"Feminismo",?,?,19349,NaN
"Fraude",?,?,19319,NaN
"Composição étnica do Brasil",?,?,19308,NaN
"Stephen Curry",?,?,19290,NaN
"Jennifer Lopez",?,?,19286,NaN
"Anime",?,?,19281,NaN
"Os Lusíadas",?,?,19278,NaN
"Whitney Houston",?,?,19268,NaN
"Alemanha Nazista",?,?,19263,NaN
"Danilo Avelar",?,?,19259,NaN
"Dinossauros",?,?,19252,NaN
"Jorge Paulo Lemann",?,?,19245,NaN
"Måneskin",?,?,19242,NaN
"John F. Kennedy",?,?,19242,NaN
"Botafogo de Futebol e Regatas",?,?,19240,NaN
"Israel Adesanya",?,?,19238,NaN
"Estoicismo",?,?,19229,NaN
"CPI da COVID-19",?,?,19217,NaN
"Roberto Mancini",?,?,19193,NaN
"Rubí (2020)",?,?,19186,NaN
"Abraham Lincoln",?,?,19170,NaN
"Cuba",?,?,19166,NaN
"Proclamação da República do Brasil",?,?,19163,NaN
"Andrea Bocelli",?,?,19140,NaN
"El Salvador",?,?,19126,NaN
"Lisca",?,?,19125,NaN
"Odin",?,?,19063,NaN
"TV Globo",?,?,19062,NaN
"Guilherme, Duque de Cambridge",?,?,19045,NaN
"Gusttavo Lima",?,?,19031,NaN
"Calendário hagiológico",?,?,18993,NaN
"Goiânia",?,?,18988,NaN
"Marina Ruy Barbosa",?,?,18986,NaN
"Polónia",?,?,18961,NaN
"Atletismo",?,?,18951,NaN
"Football Club Internazionale Milano",?,?,18951,NaN
"Jeff Bezos",?,?,18933,NaN
"Beyoncé",?,?,18932,NaN
"Grand Slam de tênis",?,?,18915,NaN
"TV Câmara",?,?,18913,NaN
"Campeonato Brasileiro de Futebol de 2020 - Série A",?,?,18891,NaN
"Partido Social Democrático (2011)",?,?,18873,NaN
"Conor McGregor",?,?,18870,NaN
"Breaking Bad",?,?,18858,NaN
"Disputa sobre o nome da Macedônia",?,?,18854,NaN
"Chris Paul",?,?,18814,NaN
"2 Girls 1 Cup",?,?,18796,NaN
"Sistema Brasileiro de Televisão",?,?,18794,NaN
"Maria da Escócia",?,?,18769,NaN
"Renato Gaúcho",?,?,18765,NaN
"Eduardo VIII do Reino Unido",?,?,18754,NaN
"Internet",?,?,18754,NaN
"Cameron Boyce",?,?,18747,NaN
"Emiliano Rigoni",?,?,18732,NaN
"Salomão",?,?,18691,NaN
"Fortaleza",?,?,18673,NaN
"Barroco",?,?,18652,NaN
"Ivermectina",?,?,18638,NaN
"Galvão Bueno",?,?,18632,NaN
"A Indomada",?,?,18629,NaN
"Tiago Abravanel",?,?,18624,NaN
"Liga das Nações de Voleibol Feminino",?,?,18615,NaN
"Guerra do Paraguai",?,?,18612,NaN
"Seleção Brasileira de Futebol Sub-23",?,?,18583,NaN
"Igreja Adventista do Sétimo Dia",?,?,18577,NaN
"David Alaba",?,?,18569,NaN
"Pablo Picasso",?,?,18545,NaN
"Tom Hiddleston",?,?,18506,NaN
"Malala Yousafzai",?,?,18505,NaN
"José (filho de Jacob)",?,?,18480,NaN
"Torre Eiffel",?,?,18451,NaN
"Paolla Oliveira",?,?,18447,NaN
"Fortaleza Esporte Clube",?,?,18437,NaN
"Sebastião José de Carvalho e Melo",?,?,18430,NaN
"Torneio de Wimbledon",?,?,18424,NaN
"Panthera onca",?,?,18421,NaN
"Marte (planeta)",?,?,18412,NaN
"Seleção Uruguaia de Futebol",?,?,18397,NaN
"Cillian Murphy",?,?,18387,NaN
"Orgulho e Paixão",?,?,18353,NaN
"Tom Cruise",?,?,18352,NaN
"Stranger Things",?,?,18346,NaN
"Lista de países e capitais em línguas locais",?,?,18325,NaN
"Isabel I de Inglaterra",?,?,18311,NaN
"Leviatã",?,?,18305,NaN
"Marjorie Estiano",?,?,18303,NaN
"Colômbia",?,?,18297,NaN
"How I Met Your Mother",?,?,18294,NaN
"Barack Obama",?,?,18271,NaN
"Miraculous: As Aventuras de Ladybug",?,?,18261,NaN
"Vitória Strada",?,?,18257,NaN
"Cássia Eller",?,?,18239,NaN
"Papa Francisco",?,?,18231,NaN
"Cazuza",?,?,18225,NaN
"Romantismo",?,?,18223,NaN
"Abimeleque de Gerar",?,?,18221,NaN
"Emmanuel Macron",?,?,18194,NaN
"Rogério Ceni",?,?,18189,NaN
"Satanismo",?,?,18186,NaN
"Joe Biden",?,?,18176,NaN
"Luciano Huck",?,?,18108,NaN
"Deborah Secco",?,?,18105,NaN
"Michael Douglas",?,?,18074,NaN
"Ló",?,?,18059,NaN
"Pedro Guilherme Abreu dos Santos",?,?,18056,NaN
"Kris Jenner",?,?,18037,NaN
"HBO Max",?,?,18014,NaN
"Cavaleiros do Apocalipse",?,?,18009,NaN
"Abraxas",?,?,18006,NaN
"Zico",?,?,18006,NaN
"Imigração no Brasil",?,?,18006,NaN
"Lista de telenovelas das seis da TV Globo",?,?,18000,NaN
"Mare of Easttown",?,?,17987,NaN
"Immanuel Kant",?,?,17975,NaN
"Chico Xavier",?,?,17956,NaN
"Salvador",?,?,17955,NaN
"Loading",?,?,17955,NaN
"Espiritismo",?,?,17908,NaN
"Baphomet",?,?,17895,NaN
"José Sarney",?,?,17890,NaN
"Marco Silva",?,?,17886,NaN
"História do Brasil",?,?,17884,NaN
"Netflix",?,?,17875,NaN
"Cuiabá Esporte Clube",?,?,17870,NaN
"Vin Diesel",?,?,17861,NaN
"Ariano Suassuna",?,?,17855,NaN
"Mitologia nórdica",?,?,17850,NaN
"Copa do Mundo FIFA de 1994",?,?,17839,NaN
"Capitalismo",?,?,17829,NaN
"Lista de campeões do UFC",?,?,17827,NaN
"Amigos dos Amigos",?,?,17826,NaN
"História",?,?,17812,NaN
"Fábio Júnior",?,?,17809,NaN
"Alan Turing",?,?,17808,NaN
"Cristóvão Colombo",?,?,17773,NaN
"Recopa Gaúcha",?,?,17771,NaN
"Lista de telenovelas latinas exibidas pelo SBT",?,?,17768,NaN
"Frederico Rodrigues Santos",?,?,17761,NaN
"Lista das pessoas mais ricas do Brasil",?,?,17751,NaN
"Meio ambiente",?,?,17745,NaN
"Rihanna",?,?,17739,NaN
"João Moutinho",?,?,17713,NaN
"Descoberta do Brasil",?,?,17713,NaN
"Ester Expósito",?,?,17713,NaN
"Leonardo DiCaprio",?,?,17703,NaN
"Exu de Umbanda",?,?,17701,NaN
"Triângulo das Bermudas",?,?,17698,NaN
"República da Irlanda",?,?,17694,NaN
"Meghan, Duquesa de Sussex",?,?,17686,NaN
"Thanos",?,?,17681,NaN
"Liga Europa da UEFA",?,?,17658,NaN
"Arte",?,?,17646,NaN
"Joachim Löw",?,?,17627,NaN
"Lista de telenovelas das oito da TV Globo",?,?,17615,NaN
"Cipriano e Justina",?,?,17597,NaN
"Ultimate Fighting Championship",?,?,17584,NaN
"Independência do Brasil",?,?,17579,NaN
"Lista de estados brasileiros por número de municípios",?,?,17569,NaN
"Lista de telenovelas das sete da TV Globo",?,?,17565,NaN
"Copa América Centenário",?,?,17559,NaN
"JoJo no Kimyo na Boken",?,?,17547,NaN
"Prison Break",?,?,17542,NaN
"Seleção Espanhola de Futebol",?,?,17535,NaN
"Thiago Silva",?,?,17525,NaN
"Gabriel Jesus",?,?,17522,NaN
"Manchester United Football Club",?,?,17510,NaN
"Método científico",?,?,17509,NaN
"Ministérios do Brasil",?,?,17505,NaN
"Diogo Jota",?,?,17500,NaN
"Guilherme Winter",?,?,17480,NaN
"Douglas Costa",?,?,17468,NaN
"Brad Pitt",?,?,17460,NaN
"Organização do Tratado do Atlântico Norte",?,?,17447,NaN
"Jackie Chan",?,?,17446,NaN
"Luciano Hang",?,?,17444,NaN
"Dança folclórica",?,?,17444,NaN
"Porto Alegre",?,?,17434,NaN
"MILF",?,?,17422,NaN
"YHWH",?,?,17418,NaN
"American Bully",?,?,17395,NaN
"Judeus",?,?,17390,NaN
"Adult Swim",?,?,17376,NaN
"Bombardeamentos de Hiroshima e Nagasaki",?,?,17372,NaN
"Espírito Santo (estado)",?,?,17367,NaN
"Ederzito António Macedo Lopes",?,?,17366,NaN
"Shaquille O'Neal",?,?,17361,NaN
"Indonésia",?,?,17351,NaN
"Campeonato Europeu de Futebol de 2000",?,?,17349,NaN
"Elenco de A Vida da Gente",?,?,17337,NaN
"Lista de municípios do Brasil por população (2020)",?,?,17337,NaN
"Filmes do Universo Cinematográfico Marvel",?,?,17329,NaN
"O Mito de Sísifo",?,?,17326,NaN
"Arsène Lupin",?,?,17311,NaN
"Cultura",?,?,17303,NaN
"Pirenópolis",?,?,17295,NaN
"Power Couple (Brasil)",?,?,17293,NaN
"Lobo",?,?,17284,NaN
"A Portuguesa",?,?,17270,NaN
